Model,Outcome,R_squared,R_squared_min,R_squared_max
Model 1,Compensation,0.06371409074009882,0.06371409074009882,0.06371409074009882
Model 1,Masking,0.03140801378895852,0.03140801378895852,0.03140801378895852
Model 1,Assimilation,0.017680158617770392,0.017680158617770392,0.017680158617770392
Model 1,CAT-Q total,0.0438178410640635,0.0438178410640635,0.0438178410640635
Model 2,Compensation,0.1534843339290828,0.15178919799677104,0.1561808303355129
Model 2,Masking,0.03960960678922548,0.038845974695402075,0.04060118117676936
Model 2,Assimilation,0.21542950567541846,0.21491166208413037,0.2161072565019868
Model 2,CAT-Q total,0.15350597646253605,0.15186403560441186,0.15603632429567327
Model 3,Compensation,0.16027770629220145,0.15865667040655496,0.16305191599212554
Model 3,Masking,0.06811523422887515,0.0661520126669608,0.0703968839131286
Model 3,Assimilation,0.2391142063459833,0.2374532376815588,0.2409219658699273
Model 3,CAT-Q total,0.1710880748033387,0.16848724629643042,0.1749453805753579
